label	drawings	engraving	iconography	painting	sculpture	total
String instrument accessory	1	0	0	0	0	1
Château	3	2	0	0	0	5
Armored cruiser	0	1	0	0	0	1
Figure drawing	239	49	0	1	5	294
Style	22	14	3	9	3	51
Fir	0	1	0	1	0	2
Craft	0	0	1	0	0	1
Night	0	0	0	3	2	5
Elk	0	0	0	0	1	1
Athletic dance move	0	0	0	0	1	1
Ancient greek temple	1	0	0	0	0	1
Black cat	1	0	0	1	0	2
Metropolitan area	2	0	0	0	2	4
Plaza	4	0	0	0	0	4
Yoga	0	0	0	0	1	1
Building	72	54	1	48	14	189
Classical architecture	14	10	0	0	8	32
Bin bag	0	0	0	0	1	1
Mouth	1	0	0	0	7	8
Ruffed grouse	0	1	0	0	0	1
Rose	4	0	0	0	1	5
Relief	13	7	352	0	39	411
Giraffe	0	0	0	1	6	7
Harp	0	0	0	2	0	2
Bronze	0	0	70	4	311	385
Bird-of-paradise	0	1	0	0	0	1
Logo	0	0	1	0	1	2
Artwork	401	149	22	46	44	662
Chess	0	0	0	0	1	1
Spring	0	0	0	0	3	3
Recreation	10	5	1	15	39	70
Street	5	3	0	0	1	9
Line	23	5	1	2	0	31
Palace	7	4	0	7	0	18
Crystal	0	0	0	0	1	1
Art exhibition	0	0	2	0	6	8
Coast	2	0	0	16	1	19
Violin	0	0	0	1	0	1
Coffee cup	1	0	0	0	0	1
Elephant	1	1	1	1	9	13
Buckle	0	0	2	0	0	2
Candle holder	0	0	0	0	1	1
Cheek	22	0	24	122	12	180
Shot put	0	0	0	0	4	4
Bone	0	2	0	0	2	4
Chicken	1	0	0	0	0	1
Lion	2	1	0	1	33	37
Hug	1	0	0	0	0	1
Product	2	0	2	1	2	7
Official	0	0	0	1	0	1
Plant	119	113	4	22	213	471
Bottle	1	0	0	1	0	2
Dish	0	0	0	1	0	1
Army	1	0	0	0	0	1
Trunk	4	6	1	1	35	47
european water shrew	0	1	0	0	0	1
Symmetry	0	2	0	0	2	4
Morning	0	0	0	14	0	14
Beak	1	5	0	0	5	11
Male	4	4	0	6	13	27
Carving	7	2	262	1	532	804
Jade	0	0	0	0	2	2
Seal	1	0	0	0	1	2
Holy places	15	17	184	16	2	234
Convent	0	1	7	1	0	9
Calm	1	0	0	20	0	21
Square	2	2	17	3	0	24
earthenware	0	0	0	0	2	2
Mythical creature	6	1	0	0	3	10
Christmas eve	1	0	1	0	0	2
Tall ship	3	1	0	3	0	7
Real estate	0	0	0	0	4	4
Origami	0	0	0	0	1	1
Uniform	3	0	0	8	0	11
Velociraptor	0	0	0	0	1	1
Dishware	0	0	1	7	0	8
Cola	1	0	0	0	0	1
Lady's maid	0	0	0	1	0	1
Attic	0	0	0	1	0	1
Moustache	3	4	22	4	1	34
Synagogue	0	0	0	2	0	2
Ruins	6	13	0	5	1	25
Gothic architecture	0	2	0	0	0	2
Inlet	0	0	0	1	0	1
Circle	3	5	2	15	9	34
Still life	65	25	174	273	1	538
Haute couture	0	0	0	1	0	1
Vintage car	8	0	0	0	0	8
Walrus	1	0	0	0	0	1
Herd	0	0	0	3	0	3
Cut flowers	12	0	0	0	0	12
Quilting	0	0	1	1	0	2
Tololoche	0	0	0	2	0	2
Friar	0	0	2	0	0	2
Tent	0	0	0	0	1	1
Cross	0	0	5	0	4	9
Harvest	0	0	0	1	0	1
Team	0	1	0	0	2	3
Pray	0	0	21	0	0	21
Balance	0	0	0	0	10	10
Violone	0	0	0	2	1	3
Menorah	0	0	0	0	1	1
Sumatran rhinoceros	0	1	0	0	1	2
Linens	1	0	0	1	0	2
Electricity	0	1	0	0	1	2
Hip	0	0	0	0	2	2
Foal	0	0	0	1	0	1
Sketch	615	220	1	3	6	845
Bufo	1	0	0	0	0	1
Lake district	0	0	0	2	0	2
City	29	17	0	37	12	95
Back	0	0	0	0	2	2
Sphere	0	0	0	0	19	19
Whale	1	0	0	0	0	1
Root	0	1	0	0	0	1
Galiot	2	4	0	2	0	8
Lobby	0	1	0	0	0	1
Iris	5	0	0	14	0	19
Extreme sport	0	0	0	1	1	2
