label	drawings	engraving	iconography	painting	sculpture	total
Egret	1	0	0	0	0
Headland	1	1	0	6	0
Grassland	0	0	0	8	3
n	1	0	0	1	0
Wallpaper	1	0	0	0	0
Waterfall	0	0	0	4	0
Underwater	0	0	0	0	1
Baby	0	0	0	4	0
Flautist	1	0	0	1	0
Number	0	0	0	1	3
Puppy love	2	0	0	0	0
Athletic dance move	0	0	0	0	1
Miniature	9	7	482	0	10
Goats	2	0	0	0	1
Companion dog	3	0	0	0	0
Art	966	713	2237	1967	1801
Viking ships	0	2	0	0	0
Bin bag	0	0	0	0	1
Floor	0	0	1	1	4
Figurine	0	0	9	98	725
Schooner	0	2	0	4	0
Coin	0	0	1	2	0
Workhouse	0	1	0	0	0
Hardwood	0	0	0	0	3
Teal	0	0	0	0	3
Claw	0	0	0	0	1
Viking	5	0	1	0	0
Art gallery	0	0	6	0	9
Plaster	0	0	0	0	9
Black cat	1	0	0	1	0
Atmospheric phenomenon	6	1	0	30	2
Medal	0	0	4	0	0
Team sport	1	0	0	1	1
Chariot	3	1	0	1	0
lilac	1	0	0	0	0
Barquentine	1	0	0	0	0
Klippe	0	1	0	3	0
Fur	3	0	0	1	0
Organ	1	0	0	0	2
Eastern Screech owl	0	1	0	0	0
Big cats	2	1	0	0	17
Box turtle	0	1	0	0	0
Portrait photography	0	0	0	2	0
Costume hat	0	1	0	0	0
Cumulus	0	0	0	4	0
Naval ship	2	1	0	0	0
Chapel	6	4	5	1	0
Dogue de bordeaux	0	1	0	0	0
Puzzle	0	0	1	0	0
Archimandrite	0	0	2	5	0
City	29	17	0	37	12
Electric blue	0	0	0	1	1
American larch	1	0	0	0	0
Playground slide	0	0	0	0	3
Walking	1	0	0	0	0
York boat	1	0	0	0	0
Gold medal	0	0	1	0	0
Grass	1	4	0	9	204
Label	1	0	2	2	0
Plucked string instruments	1	0	0	2	0
Petal	4	0	0	0	1
Human leg	1	0	0	0	1
Plane	0	0	0	1	0
Home	5	1	0	5	1
Cuisine	0	0	0	2	0
Stag beetles	0	1	0	0	0
Anime	5	1	0	0	3
Arch	18	21	16	2	7
Carp	0	1	0	0	0
c	1	0	0	1	0
Residential area	1	0	0	0	0
Sumatran rhinoceros	0	1	0	0	1
Spire	1	3	0	0	0
