i - 1228.jpeg	iconography	['Art', 'Painting', 'Icon', 'Illustration', 'Miniature']
i - 369.jpeg	iconography	['Picture frame', 'Art', 'Portrait', 'Antique', 'Icon', 'Facial hair']
i - 741.jpeg	iconography	['Painting', 'Art', 'Modern art', 'Visual arts', 'Prophet', 'Miniature', 'Icon', 'Still life']
i - 862.jpeg	iconography	['Relief', 'Carving', 'Nativity scene', 'Icon', 'Metal', 'Art']
i - 543.jpeg	iconography	['Art', 'Poster', 'Prophet', 'Portrait', 'Painting', 'Icon']
332.jpg	iconography	['Art', 'Mosaic', 'Portrait', 'Painting', 'Self-portrait', 'History', 'Visual arts', 'Prophet', 'Mural', 'Facial hair']
i - 1325.jpeg	iconography	['Brass', 'Medal', 'Metal', 'Gold medal', 'Gold', 'Artifact']
i - 1518.jpeg	iconography	['Face', 'Head', 'Art', 'Cheek', 'Forehead', 'Portrait', 'Painting', 'Facial hair', 'Self-portrait', 'Moustache']
641.jpg	iconography	['Art', 'Painting', 'Icon', 'Visual arts', 'Illustration', 'Modern art']
i - 96.jpeg	iconography	['Art', 'Painting', 'Picture frame', 'Antique', 'History', 'Prophet']
570.jpg	iconography	['Painting', 'Art', 'Religious item', 'Miniature', 'Textile', 'Tapestry', 'History', 'Prophet']
i - 124.jpeg	iconography	['Carving', 'Art', 'Relief', 'Wood', 'Ancient history', 'Artifact']
343.jpg	iconography	['Art', 'Painting', 'Icon', 'Prophet', 'Visual arts', 'Miniature']
i - 125.jpeg	iconography	['Religious item', 'Picture frame', 'Stock photography', 'Antique', 'Artifact', 'Metal', 'Art']
474.jpg	iconography	['Painting', 'Art', 'Portrait', 'Visual arts', 'Modern art']
40.jpg	iconography	['Art', 'Painting', 'Prophet', 'Visual arts', 'Portrait', 'Icon', 'Illustration']
i - 1507.jpeg	iconography	['Facial hair', 'Art', 'Beard', 'Moustache', 'Icon', 'Prophet', 'Picture frame']
154.jpg	iconography	['Facial hair', 'Beard', 'Moustache', 'Art', 'Guru', 'Portrait', 'Prophet', 'Self-portrait', 'High priest', 'Painting']
i - 1308.jpeg	iconography	['Art', 'Tapestry', 'Religious item', 'Picture frame', 'Painting', 'Textile', 'Miniature', 'Visual arts', 'Stock photography', 'History']
i - 230.jpeg	iconography	['Art', 'Tapestry', 'Prophet', 'History', 'Mythology', 'Relief', 'Icon', 'Ancient history', 'Carving']
i - 1528.jpeg	iconography	['Prophet', 'Icon', 'Art']
230 18.59.20.jpg	iconography	['Art', 'Painting', 'Prophet', 'Mosaic', 'Visual arts', 'Icon', 'History', 'Miniature']
i - 616.jpeg	iconography	['Illustration', 'Art', 'Still life', 'Fictional character', 'Painting']
i - 965.jpeg	iconography	['Stone carving', 'Relief', 'Carving', 'Memorial', 'Art', 'Artifact']
i - 1289.jpeg	iconography	['Art', 'Prophet', 'History', 'Relief', 'Picture frame', 'Portrait', 'Stone carving', 'Painting']
i - 92.jpeg	iconography	['Art', 'Portrait', 'Carving', 'Antique']
i - 820 20.26.19.jpeg	iconography	['Relief', 'Art', 'Stone carving', 'Antique', 'Metal']
716.jpg	iconography	['History', 'Miniature', 'Icon', 'Middle ages', 'Prophet', 'Nativity scene', 'Art', 'Religious item']
2665_mainfoto_05.jpg	iconography	['Painting', 'Art', 'Modern art', 'Visual arts', 'Prophet']
i - 257.jpeg	iconography	['Yellow', 'Portrait', 'Art', 'Painting', 'Still life', 'Self-portrait']
i - 1061.jpeg	iconography	['Picture frame', 'Painting', 'Art', 'Icon', 'Prophet']
290.jpg	iconography	['Art', 'Icon', 'Prophet', 'Painting', 'Blessing']
i - 231.jpeg	iconography	['Art', 'Head', 'Cheek', 'Forehead', 'Prophet', 'Painting', 'Temple', 'Guru', 'Visual arts', 'Icon']
i - 480.jpeg	iconography	['Art']
i - 350.jpeg	iconography	['Picture frame', 'Art', 'Antique', 'Relief', 'Carving', 'Stone carving', 'Icon', 'Painting']
i - 466.jpeg	iconography	['Brown', 'Wood', 'Relief', 'Carving', 'Antique', 'Art', 'Wood stain']
4.jpg	iconography	['Facial hair', 'Beard', 'Prophet', 'Art', 'Preacher', 'High priest', 'Icon', 'Moustache', 'Middle ages', 'Mythology']
i - 1125.jpeg	iconography	['Relief', 'Picture frame', 'Antique', 'Metal', 'Gold', 'Carving', 'Brass', 'Icon', 'Art']
675.jpg	iconography	['Clergy', 'Bishop', 'Metropolitan bishop', 'Religious item', 'Patriarch', 'High priest', 'Art', 'Prophet', 'Monarch', 'Vestment']
i - 734.jpeg	iconography	['Holy places', 'Art', 'Portrait', 'Picture frame', 'Stock photography', 'Prophet']
183.jpg	iconography	['Art', 'Painting', 'Visual arts', 'Mythology']
i - 912.jpeg	iconography	['Metal', 'Brass', 'Bronze', 'Copper', 'Silver']
i - 1399.jpeg	iconography	['Art', 'Text', 'Painting', 'History', 'Middle ages', 'Prophet', 'Miniature', 'Stock photography', 'Tapestry', 'Textile']
i - 1025.jpeg	iconography	['Art', 'Picture frame', 'Visual arts', 'Painting', 'Carving', 'History', 'Antique', 'Miniature', 'Middle ages']
i - 7.jpeg	iconography	['Stone carving', 'Relief', 'Carving', 'Art', 'Picture frame']
i - 1315.jpeg	iconography	['Relief', 'Carving', 'Stone carving', 'Art', 'Stock photography', 'Arch', 'Door']
i - 1292.jpeg	iconography	['Painting', 'Art', 'Portrait', 'Visual arts', 'Prophet', 'Modern art', 'Self-portrait', 'Icon', 'Illustration']
311.jpg	iconography	['Holy places', 'Art', 'Painting', 'Picture frame', 'Portrait', 'Visual arts', 'Stock photography']
i - 35.jpeg	iconography	['Picture frame', 'Metal', 'Rectangle', 'Antique']
i - 135.jpeg	iconography	['Relief', 'Art', 'Prophet']
i - 1284.jpeg	iconography	['Picture frame', 'Art', 'Painting', 'Icon', 'Prophet', 'Visual arts']
i - 853.jpeg	iconography	['Head', 'Art', 'Sculpture', 'Carving', 'Antique', 'Relief', 'Figurine', 'Metal']
i - 540.jpeg	iconography	['Wood', 'Art', 'Painting', 'Portrait', 'Carving', 'Visual arts']
381.jpg	iconography	['Art', 'Tapestry']
i - 564.jpeg	iconography	['Painting', 'Art', 'Portrait', 'Modern art', 'Picture frame', 'Visual arts', 'Still life', 'Icon', 'Prophet']
241.jpg	iconography	['Art', 'Painting', 'Stock photography', 'Visual arts', 'Collection', 'History', 'Architecture', 'Photography', 'Middle ages', 'Illustration']
i - 1031.jpeg	iconography	['Art', 'Painting', 'Collection', 'Icon', 'Visual arts', 'Prophet', 'Modern art']
i - 394.jpeg	iconography	['Holy places', 'Icon', 'Art', 'Relief', 'Prophet', 'Metal']
123.jpg	iconography	['Prophet', 'Abbess', 'Icon', 'Painting', 'Pray', 'Art']
113.jpg	iconography	['Miniature', 'Art', 'Blessing']
i - 180.jpeg	iconography	['Icon', 'Art', 'Painting', 'Miniature', 'History', 'Visual arts', 'Prophet']
i - 649.jpeg	iconography	['Holy places', 'Art', 'Painting', 'Religious item', 'Prophet', 'Miniature', 'Tapestry', 'Middle ages', 'Picture frame', 'History']
186.jpg	iconography	['Icon', 'Art', 'Metropolitan bishop', 'History', 'Monarch', 'Patriarch', 'High priest']
189.jpg	iconography	['Locket', 'Pendant', 'Oval', 'Fashion accessory', 'Art', 'Jewellery']
i - 682.jpeg	iconography	['Picture frame', 'Painting', 'Art', 'Portrait', 'Icon', 'Square']
i - 438.jpeg	iconography	['Art', 'Painting', 'Antique', 'History', 'Still life', 'Icon', 'Miniature']
i - 505.jpeg	iconography	['Art', 'Icon', 'Illustration', 'Notebook']
i - 418.jpeg	iconography	['Picture frame', 'Art', 'Antique', 'Illustration', 'Icon', 'Tapestry']
i - 602.jpeg	iconography	['Art', 'Prophet', 'Facial hair', 'History', 'High priest']
i - 1459.jpeg	iconography	['Painting', 'Art', 'Portrait']
504.jpg	iconography	['Art', 'Textile', 'Tapestry', 'Quilt', 'Visual arts', 'Mosaic', 'Painting']
89.jpg	iconography	['Painting', 'Art', 'Icon', 'Portrait']
i - 277.jpeg	iconography	['Art', 'History', 'Icon', 'Painting', 'Middle ages', 'Prophet', 'Picture frame']
i - 361.jpeg	iconography	['Art', 'Painting', 'Icon', 'Visual arts', 'Prophet', 'Picture frame', 'Portrait', 'History', 'Miniature']
i - 1395.jpeg	iconography	['Holy places', 'Picture frame', 'Prophet', 'Antique', 'Art', 'Carving', 'Architecture', 'Painting', 'Miniature', 'Shrine']
i - 703.jpeg	iconography	['Art', 'Tapestry', 'Textile', 'Painting', 'Middle ages', 'History', 'Miniature']
i - 12.jpeg	iconography	['Art', 'Relief', 'Icon', 'Prophet', 'Religious item', 'History']
1952_mainfoto_05.jpg	iconography	['Art', 'Painting', 'Textile', 'Modern art']
i - 613.jpeg	iconography	['Art', 'Antique', 'Wood']
468.jpg	iconography	['Painting', 'Art', 'Picture frame', 'Visual arts', 'Miniature', 'Antique']
623.jpg	iconography	['Preacher', 'Prophet', 'Patriarch', 'Hieromonk', 'Facial hair', 'Elder', 'Rabbi']
i - 323.jpeg	iconography	['Icon', 'Art', 'Prophet', 'Stone carving', 'Carving', 'Antique', 'Relief']
i - 77.jpeg	iconography	['Holy places', 'Art', 'Picture frame', 'Antique', 'Painting', 'Miniature']
205.jpg	iconography	['Art', 'Painting', 'Mythology', 'Illustration', 'Miniature']
i - 953.jpeg	iconography	['Relief', 'Stock photography', 'Carving', 'Art', 'History', 'Stone carving', 'Metal', 'Antique', 'Brass', 'Ancient history']
i - 1036.jpeg	iconography	['Picture frame', 'Brass', 'Gold', 'Art', 'Metal', 'Rectangle', 'Bronze', 'Relief']
307.jpg	iconography	['Art', 'Icon', 'Painting', 'Prophet', 'High priest']
i - 522.jpeg	iconography	['Painting', 'Art', 'Still life', 'Tapestry', 'History', 'Antique', 'Textile', 'Miniature', 'Middle ages', 'Picture frame']
463.jpg	iconography	['Painting', 'Art', 'Prophet', 'Icon', 'Visual arts', 'Miniature']
i - 383.jpeg	iconography	['Art', 'Picture frame', 'Icon', 'Relief']
619.jpg	iconography	['Icon', 'Poster', 'Prophet', 'History', 'Miniature', 'Art']
i - 1091.jpeg	iconography	['Art']
i - 261.jpeg	iconography	['Art', 'Guru']
i - 1406.jpeg	iconography	['Painting', 'Art', 'Icon', 'Miniature', 'Picture frame', 'Prophet']
i - 525.jpeg	iconography	['Prophet', 'Icon', 'Painting', 'Picture frame', 'Art', 'Pray']
13.jpg	iconography	['Art', 'Prophet', 'Icon', 'Religious item']
i - 934.jpeg	iconography	['Art', 'Stock photography', 'Icon', 'Painting', 'Prophet', 'History', 'Illustration', 'Picture frame']
709.png	iconography	['Art', 'Illustration', 'Headgear', 'Icon', 'Visual arts', 'Painting']
1944_mainfoto_05.jpg	iconography	['Art', 'Head', 'Painting', 'Portrait', 'Cheek', 'Self-portrait', 'Modern art', 'Visual arts']
i - 766.jpeg	iconography	['Painting', 'Art', 'Modern art', 'History', 'Middle ages', 'Visual arts', 'Miniature', 'Mural', 'Still life', 'Picture frame']
i - 792.jpeg	iconography	['Painting', 'Art', 'Miniature', 'Picture frame', 'Prophet', 'History', 'Still life', 'Antique']
449.jpg	iconography	['Painting', 'Art', 'Prophet', 'Icon', 'High priest', 'Miniature']
532.jpg	iconography	['Holy places', 'Art', 'Painting', 'Religious item', 'Prophet', 'Middle ages', 'Miniature', 'History', 'Place of worship', 'Visual arts']
707.jpg	iconography	['Painting', 'Art', 'Religious item', 'History', 'Middle ages', 'Textile', 'Picture frame', 'Antique', 'Miniature', 'Visual arts']
i - 1341.jpeg	iconography	['Art', 'Religious item', 'Tapestry', 'High priest', 'Prophet', 'Miniature', 'History', 'Mosaic', 'Icon', 'Middle ages']
i - 304.jpeg	iconography	['Picture frame', 'Art', 'Painting', 'Antique', 'Still life']
i - 558.jpeg	iconography	['Holy places', 'Picture frame', 'Art', 'Painting', 'Relief', 'Prophet']
i - 488.jpeg	iconography	['Painting', 'Picture frame', 'Art', 'Miniature', 'Textile', 'Antique', 'Modern art', 'Still life']
i - 1273.jpeg	iconography	['Art', 'History', 'Icon', 'Prophet', 'Middle ages', 'Carving']
i - 62.jpeg	iconography	['Art', 'Painting', 'Prophet', 'Portrait', 'Visual arts', 'History', 'Icon', 'Middle ages']
i - 1126.jpeg	iconography	['Picture frame', 'Art', 'Portrait', 'Painting', 'Antique']
i - 494.jpeg	iconography	['Holy places', 'Relief', 'Art', 'Carving', 'Stone carving', 'Shrine', 'Statue', 'Sculpture', 'Bronze', 'Bronze sculpture']
257.jpg	iconography	['Cope', 'Prophet', 'Painting', 'Outerwear', 'Art', 'High priest', 'Middle ages']
380.jpg	iconography	['Painting', 'Art', 'Prophet', 'Miniature']
i - 458.jpeg	iconography	['Art', 'Carving', 'Stone carving', 'Antique', 'Relief', 'Sculpture', 'Icon', 'History', 'Statue', 'Metal']
313.jpg	iconography	['Painting', 'Art', 'Poster', 'Visual arts', 'Prophet', 'Icon', 'Miniature']
i - 906.jpeg	iconography	['Holy places', 'Art', 'Stock photography', 'Relief', 'Picture frame', 'Icon', 'Painting', 'Prophet']
i - 205.jpeg	iconography	['Picture frame', 'Art', 'Portrait', 'Icon', 'Painting']
i - 671.jpeg	iconography	['Picture frame', 'Carving', 'Antique', 'Rectangle', 'Brass', 'Metal']
452.jpg	iconography	['Holy places', 'Religious item', 'Religious institute', 'Convent', 'Interior design', 'Chapel', 'Antique', 'Art']
i - 289.jpeg	iconography	['Portrait', 'Art', 'Finger', 'Icon']
i - 1012.jpeg	iconography	['Holy places', 'Art', 'History', 'Stock photography', 'Icon', 'Prophet', 'Antique', 'Picture frame']
i - 1131.jpeg	iconography	['Text', 'Art', 'Wood', 'Antique', 'Fictional character']
i - 881.jpeg	iconography	['Yellow', 'Picture frame', 'Painting', 'Art', 'Icon']
i - 490.jpeg	iconography	['Art', 'Painting', 'Prophet', 'Picture frame', 'Icon', 'Portrait', 'Still life']
158.jpg	iconography	['Forehead', 'Painting', 'Art', 'Portrait', 'Facial hair', 'Moustache', 'Self-portrait', 'Illustration', 'Modern art', 'Icon']
342.jpg	iconography	['Monarch', 'Art', 'Icon', 'Religious item', 'Monarchy', 'Painting']
i - 775.jpeg	iconography	['Relief', 'Carving', 'Statue', 'Stone carving', 'Sculpture', 'Art', 'Bronze', 'Metal', 'Bronze sculpture', 'Antique']
i - 156.jpeg	iconography	['Picture frame', 'Antique', 'Carving', 'Art', 'Painting', 'Shrine', 'Icon', 'Relief']
i - 983.jpeg	iconography	['Art', 'Painting', 'Picture frame', 'Prophet', 'Visual arts', 'Relief']
i - 1247.jpeg	iconography	['Art', 'History', 'Middle ages', 'Illustration', 'Painting', 'Ancient history', 'Antique', 'Miniature', 'Icon']
i - 1029.jpeg	iconography	['Painting', 'Art', 'Picture frame', 'Modern art', 'Portrait', 'Prophet', 'Icon', 'Still life', 'Style']
178.jpg	iconography	['Art', 'Mosaic', 'Prophet', 'Portrait', 'History', 'Painting', 'Visual arts']
606.jpg	iconography	['Art', 'Painting', 'Icon', 'Picture frame', 'Illustration']
412.jpg	iconography	['Icon', 'Prophet', 'Painting', 'Art', 'Miniature']
i - 787.jpeg	iconography	['Painting', 'Art', 'Icon', 'Miniature', 'Still life', 'Visual arts', 'Modern art']
126.jpeg	iconography	['Art', 'Prophet', 'Religious item', 'Icon', 'Mosaic']
i - 1024.jpeg	iconography	['Picture frame', 'Art', 'Prophet', 'Icon', 'Religious item', 'Abbess']
i - 439.jpeg	iconography	['Relief', 'Carving', 'Stone carving', 'Furniture', 'Antique', 'Picture frame', 'Metal', 'Art']
i - 129.jpeg	iconography	['Relief', 'Brass', 'Metal', 'Antique', 'Carving', 'Art', 'Picture frame', 'Bronze', 'Stone carving']
i - 946.jpeg	iconography	['Wallet', 'Art']
547.jpeg	iconography	['Art', 'Prophet', 'Religious item', 'Icon', 'Carving', 'Religious institute']
i - 909.jpeg	iconography	['Painting', 'Text', 'Art', 'History', 'Miniature', 'Illustration', 'Style', 'Fictional character']
i - 138.jpeg	iconography	['Holy places', 'Art', 'Relief', 'Stone carving', 'Carving', 'Picture frame', 'Stock photography', 'Architecture', 'Middle ages', 'Sculpture']
i - 84.jpeg	iconography	['Painting', 'Picture frame', 'Art', 'Modern art', 'Still life', 'Portrait', 'Visual arts', 'Antique', 'Icon']
i - 1150.jpeg	iconography	['Art', 'Picture frame', 'Relief', 'Stone carving', 'Carving', 'Painting', 'Stock photography']
i - 1553.jpeg	iconography	['Stone carving', 'Carving', 'Relief', 'Art', 'Sculpture', 'Statue', 'History', 'Stock photography', 'Antique', 'Ancient history']
i - 67.jpeg	iconography	['Art', 'Icon']
i - 1556.jpeg	iconography	['Picture frame', 'Brass', 'Art', 'Antique', 'Painting', 'Metal', 'Arch']
i - 54.jpeg	iconography	['Art', 'Painting', 'Picture frame', 'Portrait', 'Icon', 'Prophet', 'Visual arts', 'Miniature']
348.jpg	iconography	['Religious item', 'Icon', 'Art', 'Picture frame', 'Prophet', 'Miniature', 'History']
i - 1435.jpeg	iconography	['Relief', 'Picture frame', 'Art', 'Painting', 'Metal']
i - 1557.jpeg	iconography	['Art', 'Picture frame', 'Visual arts', 'Painting', 'Mosaic', 'History', 'Icon']
i - 846.jpeg	iconography	['Art', 'Antique', 'Icon', 'Carving']
i - 465.jpeg	iconography	['Art', 'Painting', 'Square']
182.jpg	iconography	['Painting', 'Art', 'Portrait', 'Prophet', 'Modern art', 'Visual arts', 'Picture frame', 'Bansuri', 'Icon']
i - 1560.jpeg	iconography	['Art', 'Painting', 'Textile', 'Miniature', 'Visual arts', 'Modern art', 'History', 'Icon']
i - 1175.jpeg	iconography	['Carving', 'Games', 'Metal', 'Art']
i - 237.jpeg	iconography	['Holy places', 'Art', 'Painting', 'Portrait', 'Prophet', 'Visual arts', 'Stock photography', 'Icon', 'History', 'Facial hair']
i - 1316.jpeg	iconography	['Icon', 'Headgear', 'Art', 'Label', 'Illustration']
233.jpg	iconography	['Prophet', 'High priest', 'Art']
i - 693.jpeg	iconography	['Art', 'History', 'Icon', 'Prophet', 'Religious item']
256.jpg	iconography	['Painting', 'Art', 'Mythology', 'Visual arts', 'Blessing']
i - 1314.jpeg	iconography	['Art', 'Modern art', 'Portrait', 'Painting', 'Headgear', 'Temple', 'History', 'Illustration', 'Visual arts', 'Fictional character']
i - 753.jpeg	iconography	['Art', 'Painting', 'Modern art', 'Illustration', 'Picture frame', 'Still life', 'Portrait', 'Visual arts']
592.jpg	iconography	['Stone carving', 'Vestment', 'Prophet', 'History', 'Art', 'Religious institute', 'Cope']
i - 1414.jpeg	iconography	['Art', 'Icon', 'History', 'Miniature', 'Prophet', 'Facial hair']
673.jpg	iconography	['Painting', 'Art', 'Portrait', 'Facial hair', 'Beard', 'Visual arts', 'Modern art', 'Moustache']
i - 68.jpeg	iconography	['Relief', 'Art', 'Carving', 'Stone carving', 'Icon', 'Picture frame']
i - 50.jpeg	iconography	['Painting', 'Art', 'Portrait', 'Visual arts', 'Prophet']
i - 253.jpeg	iconography	['Painting', 'Art', 'Modern art', 'Visual arts', 'Still life', 'Miniature', 'Tapestry', 'Prophet', 'Illustration', 'Portrait']
344 18.59.20.jpg	iconography	['Child', 'Mother', 'Art', 'Painting', 'Visual arts', 'Daughter', 'Illustration']
524.jpg	iconography	['Painting', 'Picture frame', 'Prophet', 'Art', 'Abbess', 'Icon', 'Religious item']
i - 1519.jpeg	iconography	['Yellow', 'Art', 'Icon', 'Mosaic', 'Statue', 'Rectangle', 'History']
548.jpg	iconography	['Painting', 'Art', 'Icon', 'Prophet', 'Visual arts', 'Miniature', 'Illustration', 'Modern art']
i - 1157.jpeg	iconography	['Art', 'History', 'Icon', 'Ancient history', 'Artifact', 'Middle ages', 'Painting']
i - 694.jpeg	iconography	['Metal', 'Brass', 'Icon', 'Gold', 'History', 'Cash', 'Bronze', 'Money', 'Rectangle']
589.jpg	iconography	['Painting', 'Holy places', 'Art', 'Prophet', 'Middle ages', 'Miniature', 'Visual arts', 'History', 'Icon']
i - 349.jpeg	iconography	['Portrait', 'Painting', 'Art', 'Visual arts', 'Modern art']
i - 1280.jpeg	iconography	['Art', 'Collection', 'Antique', 'History']
22.jpg	iconography	['Art', 'Prophet', 'Icon', 'Painting', 'Religious item', 'Miniature', 'High priest']
i - 557.jpeg	iconography	['Art', 'Painting', 'Miniature', 'Prophet', 'Icon', 'Religious item', 'History', 'Picture frame', 'Middle ages', 'High priest']
i - 269.jpeg	iconography	['Holy places', 'Art', 'Stock photography', 'Carving', 'Prophet', 'Tapestry']
480.jpg	iconography	['Painting', 'Art', 'Prophet', 'History', 'Miniature', 'Visual arts', 'Icon', 'Middle ages']
305.jpg	iconography	['Art', 'Prophet', 'Architecture', 'History', 'Painting']
57.jpg	iconography	['Art', 'Holy places', 'Painting', 'Prophet', 'Icon', 'Middle ages', 'Miniature']
i - 111.jpeg	iconography	['Painting', 'Art', 'Icon', 'Picture frame', 'Modern art', 'Visual arts', 'Prophet', 'Portrait', 'Antique']
i - 433.jpeg	iconography	['Picture frame', 'Painting', 'Carving', 'Art', 'Relief', 'Visual arts', 'Antique', 'Still life', 'Rectangle', 'Collection']
599.jpg	iconography	['Painting', 'Art', 'Textile', 'Prophet', 'Tapestry', 'Visual arts', 'Miniature']
i - 1263.jpeg	iconography	['Antique', 'Picture frame', 'Shrine', 'Furniture', 'Place of worship']
i - 1393.jpeg	iconography	['Art', 'Mythology', 'Textile', 'Painting', 'History', 'Middle ages', 'Antique', 'Miniature', 'Mural', 'Illustration']
i - 1456.jpeg	iconography	['Picture frame', 'Painting', 'Art', 'Modern art', 'Still life', 'Icon', 'Antique']
i - 818.jpeg	iconography	['Holy places', 'History', 'Art', 'Icon', 'Prophet', 'Picture frame', 'Ancient history', 'Middle ages', 'Brass', 'Antique']
i - 1275.jpeg	iconography	['Picture frame', 'Art', 'Painting', 'Portrait', 'Relief', 'Stock photography', 'Visual arts', 'Icon']
i - 528.jpeg	iconography	[]
8.jpg	iconography	['Painting', 'Art', 'Icon', 'Visual arts', 'Illustration', 'Picture frame', 'Miniature', 'Prophet', 'Portrait']
i - 948.jpeg	iconography	['Collection', 'Art', 'Visual arts', 'Art gallery', 'Tourist attraction']
197.jpg	iconography	['Art', 'Holy places', 'Painting', 'Middle ages', 'Prophet', 'History', 'Visual arts']
i - 508.jpeg	iconography	['Picture frame', 'Holy places', 'Art', 'Painting', 'Antique', 'Relief', 'Middle ages', 'Carving']
180.jpg	iconography	['Guru', 'Art', 'Icon', 'Painting', 'Illustration']
i - 43.jpeg	iconography	['Art', 'Icon', 'Antique']
486.jpg	iconography	['Painting', 'Art', 'Picture frame', 'Icon', 'Visual arts', 'Miniature', 'Illustration', 'Prophet']
i - 421.jpeg	iconography	['Stock photography', 'Icon', 'History', 'Prophet', 'Religious item', 'Relief', 'Postage stamp', 'Art', 'Picture frame']
i - 1486.jpeg	iconography	['Relief', 'Art', 'Nativity scene', 'Carving']
i - 970.jpeg	iconography	['Picture frame', 'Art', 'Icon', 'Prophet']
i - 1154.jpeg	iconography	['Picture frame', 'Antique', 'Art']
i - 883.jpeg	iconography	['Holy places', 'Relief', 'Art', 'Painting', 'Prophet', 'Icon', 'Visual arts', 'Stone carving', 'Illustration']
538.jpg	iconography	['Art', 'Painting', 'Icon', 'Visual arts', 'Prophet', 'Illustration']
47 18.59.20.jpg	iconography	['Art', 'Holy places', 'Tapestry', 'Textile', 'Painting', 'History', 'Prophet', 'Stock photography', 'Icon', 'Visual arts']
i - 962.jpeg	iconography	['Brass', 'Metal', 'Bronze', 'Relief', 'Art', 'Gold', 'Antique', 'History']
i - 1221.jpeg	iconography	['Painting', 'Art', 'Middle ages', 'History', 'Miniature', 'Prophet']
i - 181.jpeg	iconography	['Metal', 'Font']
