label	drawings	engraving	iconography	painting	sculpture	total
Indian rhinoceros	0	1	0	0	1	2
Château	2	2	0	0	0	4
East indiaman	1	3	0	6	0	10
Armored cruiser	0	1	0	0	0	1
Naval ship	0	1	0	0	0	1
Horse trainer	0	0	0	102	6	108
Hut	0	0	0	1	0	1
Human settlement	1	1	0	1	0	3
Wilderness	0	0	0	2	0	2
Figure drawing	51	7	0	1	1	60
Nonbuilding structure	1	1	0	0	157	159
Style	0	4	1	9	1	15
Fir	0	0	0	1	0	1
Segway	0	0	0	0	1	1
Craft	0	0	1	0	0	1
hoopskirt	0	0	0	99	0	99
Tail	0	1	0	1	5	7
Primate	0	0	0	0	1	1
Crown	0	1	0	2	0	3
Night	0	0	0	3	1	4
Squash	0	0	0	0	1	1
Light fixture	0	0	0	0	1	1
Outerwear	2	1	4	20	4	31
Tradition	0	0	2	3	0	5
Headquarters	0	0	0	0	1	1
Guillotine	0	3	0	0	0	3
Black cat	0	0	0	1	0	1
Destroyer	1	0	0	0	0	1
Rodeo	0	1	0	0	0	1
Cg artwork	0	1	0	21	1	23
Driftwood	0	0	0	0	5	5
Plaza	1	0	0	0	0	1
Q-ship	1	1	0	0	0	2
oxcart	0	1	0	0	0	1
Totem pole	0	0	0	0	1	1
People in nature	0	0	0	1	0	1
Branch	1	1	0	0	5	7
Black rhinoceros	0	1	0	0	1	2
Fashion accessory	0	1	1	16	2	20
Konghou	0	0	0	2	0	2
Blizzard	1	0	0	3	0	4
Hare	0	1	0	0	2	3
Vintage clothing	2	4	0	3	0	9
Human	6	6	1	11	17	41
Finger	0	0	0	1	0	1
Natural landscape	3	1	0	45	2	51
Indian elephant	0	0	0	1	2	3
Building	18	36	1	48	4	107
Classical architecture	1	9	0	0	2	12
Plaster	0	0	0	0	3	3
Performance	0	0	0	3	2	5
Violin family	0	0	0	2	0	2
Flower	1	0	2	7	3	13
Doodle	0	1	0	0	0	1
Wildlife	0	1	0	6	7	14
Ruffed grouse	0	1	0	0	0	1
Triumphal arch	1	0	0	0	0	1
Piano	0	0	0	1	0	1
Bin bag	0	0	0	0	1	1
Mouth	0	0	0	0	1	1
Shepherd	0	1	0	0	0	1
Wine bottle	0	0	0	1	0	1
Forehead	24	6	18	20	26	94
Relief	0	2	13	0	11	26
Hortaya borzaya	1	0	0	1	0	2
Line art	6	14	0	0	1	21
Spruce-fir forest	0	0	0	2	0	2
Fiction	0	3	0	0	0	3
Cat	0	1	0	0	2	3
Military officer	0	0	0	4	0	4
Harp	0	0	0	2	0	2
Giraffe	0	0	0	1	1	2
Brown	0	0	2	1	0	3
Promontory	0	0	0	3	0	3
Plastic	0	0	0	0	1	1
Rein	0	1	0	12	4	17
Bronze	0	0	2	4	110	116
Paint	2	0	0	9	0	11
Costume	0	0	0	8	0	8
Face	12	4	0	3	7	26
Eye	0	0	3	96	0	99
Knight	0	3	0	0	0	3
Art paper	0	0	0	1	0	1
River	9	2	0	15	0	26
Artwork	63	25	5	46	18	157
Garden	0	0	0	0	20	20
Clothes hanger	0	0	0	0	1	1
Drawing	114	101	2	113	9	339
Recreation	0	1	0	15	5	21
Street	1	3	0	0	0	4
Memorial	0	1	0	0	33	34
Harbor	0	0	0	11	0	11
Rabbi	0	0	1	2	0	3
Line	1	5	1	2	0	9
Transport	0	1	0	0	0	1
Watercourse	0	0	0	7	0	7
High heels	0	0	0	0	1	1
Farm	1	0	0	2	0	3
Palace	4	4	0	7	0	15
Gusli	0	0	0	1	0	1
Architecture	26	40	17	32	56	171
Art exhibition	0	0	1	0	0	1
Deacon	0	0	2	0	0	2
Reflection	1	0	0	3	2	6
Crystal	0	0	0	0	1	1
Crowd	1	0	0	13	0	14
Blessing	0	1	30	0	0	31
Blister beetles	0	1	0	0	0	1
Thoroughfare	1	0	0	0	0	1
Octopus	0	0	0	0	1	1
Baby	0	0	0	4	0	4
Finial	0	0	0	0	1	1
Rebellion	0	1	0	4	0	5
Coast	0	0	0	16	0	16
Space	0	0	0	3	1	4
Antique	0	8	24	83	5	120
Violin	0	0	0	1	0	1
Vehicle	3	35	0	65	4	107
Bridle	0	1	0	11	3	15
Mineral	0	0	0	0	2	2
Narcissus	0	0	1	0	0	1
Gentleman	17	4	2	263	0	286
Natural environment	0	1	0	26	1	28
Chariot	0	0	0	1	0	1
Elephant	0	0	0	1	3	4
Lawn	0	0	0	0	8	8
Dust	0	0	0	2	0	2
Angel	0	0	8	2	3	13
Sculptor	0	0	0	0	33	33
Candle holder	0	0	0	0	1	1
Dress	0	1	0	119	3	123
Cheek	1	0	7	122	6	136
Shot put	0	0	0	0	1	1
Bone	0	2	0	0	1	3
Bodybuilder	0	0	0	0	1	1
Pattern	0	3	7	12	1	23
Trapeze	0	0	0	0	1	1
Shoe	1	0	0	1	2	4
Toddler	0	0	0	10	0	10
Collage	0	0	0	1	1	2
Denim	0	0	0	1	0	1
Steeple	0	2	0	0	0	2
Horse and buggy	0	0	0	1	0	1
Lion	0	0	0	1	2	3
Mannequin	0	0	0	0	3	3
Head	16	8	13	4	37	78
Product	0	0	0	1	0	1
Sled dog	0	0	0	1	0	1
Official	0	0	0	1	0	1
Llama	0	0	0	0	1	1
Pc game	0	0	0	1	0	1
Animation	0	0	0	4	5	9
Plant	11	10	5	22	50	98
Bottle	0	0	0	1	0	1
Stock photography	18	94	49	29	8	198
Dish	0	0	0	1	0	1
Rain chain	0	0	0	0	1	1
Modern art	4	6	65	103	6	184
Illustration	70	212	158	214	10	664
Santoor	0	0	0	1	0	1
Black hair	0	0	0	6	0	6
Bench	0	0	0	0	1	1
Frock coat	0	0	0	1	0	1
Trunk	0	1	0	1	11	13
Hunting dog	1	0	0	0	0	1
Stag beetles	0	1	0	0	0	1
Book cover	0	1	0	0	0	1
Bansuri	0	0	1	0	0	1
Delphinium	0	0	0	1	0	1
Cartoon	0	12	0	2	0	14
Armored car	0	1	0	0	0	1
Reptile	0	1	0	0	0	1
Symmetry	0	1	0	0	0	1
Tide	0	0	0	4	0	4
Field	0	0	0	3	0	3
Prairie	0	0	0	5	0	5
Technology	0	0	0	1	4	5
Butternut squash	0	0	0	0	1	1
Feather	0	0	0	0	2	2
Boar	0	0	0	0	1	1
Street art	0	0	0	3	0	3
Woody plant	3	0	0	7	1	11
Morning	0	0	0	14	0	14
Beak	0	1	0	0	3	4
Cow-goat family	0	0	0	0	2	2
Liver	1	0	0	0	0	1
Horn	0	0	0	0	2	2
Male	2	0	0	6	4	12
Modern dance	0	0	0	1	0	1
Yellow	0	0	5	7	0	12
Carving	0	0	24	1	162	187
Bayou	2	0	0	5	0	7
Holy places	4	10	55	16	1	86
Convent	0	1	6	1	0	8
Evening	0	0	0	12	0	12
Underwater	0	0	0	0	1	1
Sport venue	0	0	0	0	1	1
Double bass	0	0	0	1	0	1
Peafowl	0	0	0	0	1	1
Cloud	1	0	0	24	5	30
Calm	1	0	0	20	0	21
Savanna	0	0	0	4	0	4
Turtle	0	1	0	0	0	1
Trumpet	0	0	0	0	1	1
Canal	11	1	0	13	0	25
Square	0	0	1	3	0	4
Discus throw	0	0	0	0	2	2
Formal wear	0	0	0	17	0	17
Hieromonk	0	0	4	6	0	10
Column	3	1	0	0	2	6
Marines	0	0	0	1	0	1
Family	1	0	0	3	0	4
Rabbit	0	1	0	0	0	1
earthenware	0	0	0	0	1	1
Chainsaw carving	0	0	0	0	6	6
Stream	0	0	0	2	0	2
Kilt	0	1	0	0	0	1
Sailing ship	0	2	0	4	0	6
Ritual	0	1	6	0	0	7
Arch bridge	1	0	0	0	0	1
